mtc,id,diagnostic,type2,type1
367.2842865,FA 22:2 +2O,FA 22:2 +2O,fatty_acid,frag
383.2792011,FA 22:2 +3O,FA 22:2 +3O,fatty_acid,frag
333.2788071,FA 22:3,FA 22:3,fatty_acid,frag
349.2737218,FA 22:3 +1O,FA 22:3 +1O,fatty_acid,frag
365.2686364,FA 22:3 +2O,FA 22:3 +2O,fatty_acid,frag
381.263551,FA 22:3 +3O,FA 22:3 +3O,fatty_acid,frag
331.2631571,FA 22:4,FA 22:4,fatty_acid,frag
347.2580717,FA 22:4 +1O,FA 22:4 +1O,fatty_acid,frag
363.2529863,FA 22:4 +2O,FA 22:4 +2O,fatty_acid,frag
379.2479009,FA 22:4 +3O,FA 22:4 +3O,fatty_acid,frag
329.247507,FA 22:5,FA 22:5,fatty_acid,frag
345.2424216,FA 22:5 +1O,FA 22:5 +1O,fatty_acid,frag
361.2373362,FA 22:5 +2O,FA 22:5 +2O,fatty_acid,frag
377.2322508,FA 22:5 +3O,FA 22:5 +3O,fatty_acid,frag
353.3414075,FA 23:0,FA 23:0,fatty_acid,frag
369.3363221,FA 23:0 +1O,FA 23:0 +1O,fatty_acid,frag
385.3312367,FA 23:0 +2O,FA 23:0 +2O,fatty_acid,frag
401.3261513,FA 23:0 +3O,FA 23:0 +3O,fatty_acid,frag
351.3257574,FA 23:1,FA 23:1,fatty_acid,frag
367.320672,FA 23:1 +1O,FA 23:1 +1O,fatty_acid,frag
383.3155866,FA 23:1 +2O,FA 23:1 +2O,fatty_acid,frag
399.3105012,FA 23:1 +3O,FA 23:1 +3O,fatty_acid,frag
349.3101073,FA 23:2,FA 23:2,fatty_acid,frag
365.3050219,FA 23:2 +1O,FA 23:2 +1O,fatty_acid,frag
381.2999365,FA 23:2 +2O,FA 23:2 +2O,fatty_acid,frag
397.2948512,FA 23:2 +3O,FA 23:2 +3O,fatty_acid,frag
347.2944572,FA 23:3,FA 23:3,fatty_acid,frag
363.2893718,FA 23:3 +1O,FA 23:3 +1O,fatty_acid,frag
379.2842865,FA 23:3 +2O,FA 23:3 +2O,fatty_acid,frag
395.2792011,FA 23:3 +3O,FA 23:3 +3O,fatty_acid,frag
345.2788071,FA 23:4,FA 23:4,fatty_acid,frag
361.2737218,FA 23:4 +1O,FA 23:4 +1O,fatty_acid,frag
377.2686364,FA 23:4 +2O,FA 23:4 +2O,fatty_acid,frag
393.263551,FA 23:4 +3O,FA 23:4 +3O,fatty_acid,frag
343.2631571,FA 23:5,FA 23:5,fatty_acid,frag
359.2580717,FA 23:5 +1O,FA 23:5 +1O,fatty_acid,frag
375.2529863,FA 23:5 +2O,FA 23:5 +2O,fatty_acid,frag
391.2479009,FA 23:5 +3O,FA 23:5 +3O,fatty_acid,frag
367.3570575,FA 24:0,FA 24:0,fatty_acid,frag
383.3519722,FA 24:0 +1O,FA 24:0 +1O,fatty_acid,frag
399.3468868,FA 24:0 +2O,FA 24:0 +2O,fatty_acid,frag
415.3418014,FA 24:0 +3O,FA 24:0 +3O,fatty_acid,frag
365.3414075,FA 24:1,FA 24:1,fatty_acid,frag
381.3363221,FA 24:1 +1O,FA 24:1 +1O,fatty_acid,frag
397.3312367,FA 24:1 +2O,FA 24:1 +2O,fatty_acid,frag
413.3261513,FA 24:1 +3O,FA 24:1 +3O,fatty_acid,frag
363.3257574,FA 24:2,FA 24:2,fatty_acid,frag
379.320672,FA 24:2 +1O,FA 24:2 +1O,fatty_acid,frag
395.3155866,FA 24:2 +2O,FA 24:2 +2O,fatty_acid,frag
411.3105012,FA 24:2 +3O,FA 24:2 +3O,fatty_acid,frag
361.3101073,FA 24:3,FA 24:3,fatty_acid,frag
377.3050219,FA 24:3 +1O,FA 24:3 +1O,fatty_acid,frag
393.2999365,FA 24:3 +2O,FA 24:3 +2O,fatty_acid,frag
409.2948512,FA 24:3 +3O,FA 24:3 +3O,fatty_acid,frag
359.2944572,FA 24:4,FA 24:4,fatty_acid,frag
375.2893718,FA 24:4 +1O,FA 24:4 +1O,fatty_acid,frag
391.2842865,FA 24:4 +2O,FA 24:4 +2O,fatty_acid,frag
407.2792011,FA 24:4 +3O,FA 24:4 +3O,fatty_acid,frag
357.2788071,FA 24:5,FA 24:5,fatty_acid,frag
373.2737218,FA 24:5 +1O,FA 24:5 +1O,fatty_acid,frag
389.2686364,FA 24:5 +2O,FA 24:5 +2O,fatty_acid,frag
405.263551,FA 24:5 +3O,FA 24:5 +3O,fatty_acid,frag
381.3727076,FA 25:0,FA 25:0,fatty_acid,frag
397.3676222,FA 25:0 +1O,FA 25:0 +1O,fatty_acid,frag
413.3625369,FA 25:0 +2O,FA 25:0 +2O,fatty_acid,frag
429.3574515,FA 25:0 +3O,FA 25:0 +3O,fatty_acid,frag
379.3570575,FA 25:1,FA 25:1,fatty_acid,frag
395.3519722,FA 25:1 +1O,FA 25:1 +1O,fatty_acid,frag
411.3468868,FA 25:1 +2O,FA 25:1 +2O,fatty_acid,frag
427.3418014,FA 25:1 +3O,FA 25:1 +3O,fatty_acid,frag
377.3414075,FA 25:2,FA 25:2,fatty_acid,frag
393.3363221,FA 25:2 +1O,FA 25:2 +1O,fatty_acid,frag
409.3312367,FA 25:2 +2O,FA 25:2 +2O,fatty_acid,frag
425.3261513,FA 25:2 +3O,FA 25:2 +3O,fatty_acid,frag
375.3257574,FA 25:3,FA 25:3,fatty_acid,frag
391.320672,FA 25:3 +1O,FA 25:3 +1O,fatty_acid,frag
407.3155866,FA 25:3 +2O,FA 25:3 +2O,fatty_acid,frag
423.3105012,FA 25:3 +3O,FA 25:3 +3O,fatty_acid,frag
373.3101073,FA 25:4,FA 25:4,fatty_acid,frag
389.3050219,FA 25:4 +1O,FA 25:4 +1O,fatty_acid,frag
405.2999365,FA 25:4 +2O,FA 25:4 +2O,fatty_acid,frag
421.2948512,FA 25:4 +3O,FA 25:4 +3O,fatty_acid,frag
371.2944572,FA 25:5,FA 25:5,fatty_acid,frag
387.2893718,FA 25:5 +1O,FA 25:5 +1O,fatty_acid,frag
403.2842865,FA 25:5 +2O,FA 25:5 +2O,fatty_acid,frag
419.2792011,FA 25:5 +3O,FA 25:5 +3O,fatty_acid,frag
395.3883577,FA 26:0,FA 26:0,fatty_acid,frag
411.3832723,FA 26:0 +1O,FA 26:0 +1O,fatty_acid,frag
427.3781869,FA 26:0 +2O,FA 26:0 +2O,fatty_acid,frag
443.3731016,FA 26:0 +3O,FA 26:0 +3O,fatty_acid,frag
393.3727076,FA 26:1,FA 26:1,fatty_acid,frag
409.3676222,FA 26:1 +1O,FA 26:1 +1O,fatty_acid,frag
425.3625369,FA 26:1 +2O,FA 26:1 +2O,fatty_acid,frag
441.3574515,FA 26:1 +3O,FA 26:1 +3O,fatty_acid,frag
391.3570575,FA 26:2,FA 26:2,fatty_acid,frag
407.3519722,FA 26:2 +1O,FA 26:2 +1O,fatty_acid,frag
423.3468868,FA 26:2 +2O,FA 26:2 +2O,fatty_acid,frag
439.3418014,FA 26:2 +3O,FA 26:2 +3O,fatty_acid,frag
389.3414075,FA 26:3,FA 26:3,fatty_acid,frag
405.3363221,FA 26:3 +1O,FA 26:3 +1O,fatty_acid,frag
421.3312367,FA 26:3 +2O,FA 26:3 +2O,fatty_acid,frag
437.3261513,FA 26:3 +3O,FA 26:3 +3O,fatty_acid,frag
