mass,id,diagnostic,type2,type1
364.2972018,FA 23:3 +1O,FA 23:3 +1O,fatty_acid,nl
380.2921165,FA 23:3 +2O,FA 23:3 +2O,fatty_acid,nl
396.2870311,FA 23:3 +3O,FA 23:3 +3O,fatty_acid,nl
346.2866371,FA 23:4,FA 23:4,fatty_acid,nl
362.2815518,FA 23:4 +1O,FA 23:4 +1O,fatty_acid,nl
378.2764664,FA 23:4 +2O,FA 23:4 +2O,fatty_acid,nl
394.271381,FA 23:4 +3O,FA 23:4 +3O,fatty_acid,nl
344.2709871,FA 23:5,FA 23:5,fatty_acid,nl
360.2659017,FA 23:5 +1O,FA 23:5 +1O,fatty_acid,nl
376.2608163,FA 23:5 +2O,FA 23:5 +2O,fatty_acid,nl
392.2557309,FA 23:5 +3O,FA 23:5 +3O,fatty_acid,nl
368.3648875,FA 24:0,FA 24:0,fatty_acid,nl
384.3598022,FA 24:0 +1O,FA 24:0 +1O,fatty_acid,nl
400.3547168,FA 24:0 +2O,FA 24:0 +2O,fatty_acid,nl
416.3496314,FA 24:0 +3O,FA 24:0 +3O,fatty_acid,nl
366.3492375,FA 24:1,FA 24:1,fatty_acid,nl
382.3441521,FA 24:1 +1O,FA 24:1 +1O,fatty_acid,nl
398.3390667,FA 24:1 +2O,FA 24:1 +2O,fatty_acid,nl
414.3339813,FA 24:1 +3O,FA 24:1 +3O,fatty_acid,nl
364.3335874,FA 24:2,FA 24:2,fatty_acid,nl
380.328502,FA 24:2 +1O,FA 24:2 +1O,fatty_acid,nl
396.3234166,FA 24:2 +2O,FA 24:2 +2O,fatty_acid,nl
412.3183312,FA 24:2 +3O,FA 24:2 +3O,fatty_acid,nl
362.3179373,FA 24:3,FA 24:3,fatty_acid,nl
378.3128519,FA 24:3 +1O,FA 24:3 +1O,fatty_acid,nl
394.3077665,FA 24:3 +2O,FA 24:3 +2O,fatty_acid,nl
410.3026812,FA 24:3 +3O,FA 24:3 +3O,fatty_acid,nl
360.3022872,FA 24:4,FA 24:4,fatty_acid,nl
376.2972018,FA 24:4 +1O,FA 24:4 +1O,fatty_acid,nl
392.2921165,FA 24:4 +2O,FA 24:4 +2O,fatty_acid,nl
408.2870311,FA 24:4 +3O,FA 24:4 +3O,fatty_acid,nl
358.2866371,FA 24:5,FA 24:5,fatty_acid,nl
374.2815518,FA 24:5 +1O,FA 24:5 +1O,fatty_acid,nl
390.2764664,FA 24:5 +2O,FA 24:5 +2O,fatty_acid,nl
406.271381,FA 24:5 +3O,FA 24:5 +3O,fatty_acid,nl
382.3805376,FA 25:0,FA 25:0,fatty_acid,nl
398.3754522,FA 25:0 +1O,FA 25:0 +1O,fatty_acid,nl
414.3703669,FA 25:0 +2O,FA 25:0 +2O,fatty_acid,nl
430.3652815,FA 25:0 +3O,FA 25:0 +3O,fatty_acid,nl
380.3648875,FA 25:1,FA 25:1,fatty_acid,nl
396.3598022,FA 25:1 +1O,FA 25:1 +1O,fatty_acid,nl
412.3547168,FA 25:1 +2O,FA 25:1 +2O,fatty_acid,nl
428.3496314,FA 25:1 +3O,FA 25:1 +3O,fatty_acid,nl
378.3492375,FA 25:2,FA 25:2,fatty_acid,nl
394.3441521,FA 25:2 +1O,FA 25:2 +1O,fatty_acid,nl
410.3390667,FA 25:2 +2O,FA 25:2 +2O,fatty_acid,nl
426.3339813,FA 25:2 +3O,FA 25:2 +3O,fatty_acid,nl
376.3335874,FA 25:3,FA 25:3,fatty_acid,nl
392.328502,FA 25:3 +1O,FA 25:3 +1O,fatty_acid,nl
408.3234166,FA 25:3 +2O,FA 25:3 +2O,fatty_acid,nl
424.3183312,FA 25:3 +3O,FA 25:3 +3O,fatty_acid,nl
374.3179373,FA 25:4,FA 25:4,fatty_acid,nl
390.3128519,FA 25:4 +1O,FA 25:4 +1O,fatty_acid,nl
406.3077665,FA 25:4 +2O,FA 25:4 +2O,fatty_acid,nl
422.3026812,FA 25:4 +3O,FA 25:4 +3O,fatty_acid,nl
372.3022872,FA 25:5,FA 25:5,fatty_acid,nl
388.2972018,FA 25:5 +1O,FA 25:5 +1O,fatty_acid,nl
404.2921165,FA 25:5 +2O,FA 25:5 +2O,fatty_acid,nl
420.2870311,FA 25:5 +3O,FA 25:5 +3O,fatty_acid,nl
396.3961877,FA 26:0,FA 26:0,fatty_acid,nl
412.3911023,FA 26:0 +1O,FA 26:0 +1O,fatty_acid,nl
428.3860169,FA 26:0 +2O,FA 26:0 +2O,fatty_acid,nl
444.3809316,FA 26:0 +3O,FA 26:0 +3O,fatty_acid,nl
394.3805376,FA 26:1,FA 26:1,fatty_acid,nl
410.3754522,FA 26:1 +1O,FA 26:1 +1O,fatty_acid,nl
426.3703669,FA 26:1 +2O,FA 26:1 +2O,fatty_acid,nl
442.3652815,FA 26:1 +3O,FA 26:1 +3O,fatty_acid,nl
392.3648875,FA 26:2,FA 26:2,fatty_acid,nl
408.3598022,FA 26:2 +1O,FA 26:2 +1O,fatty_acid,nl
424.3547168,FA 26:2 +2O,FA 26:2 +2O,fatty_acid,nl
440.3496314,FA 26:2 +3O,FA 26:2 +3O,fatty_acid,nl
390.3492375,FA 26:3,FA 26:3,fatty_acid,nl
406.3441521,FA 26:3 +1O,FA 26:3 +1O,fatty_acid,nl
422.3390667,FA 26:3 +2O,FA 26:3 +2O,fatty_acid,nl
438.3339813,FA 26:3 +3O,FA 26:3 +3O,fatty_acid,nl
388.3335874,FA 26:4,FA 26:4,fatty_acid,nl
404.328502,FA 26:4 +1O,FA 26:4 +1O,fatty_acid,nl
420.3234166,FA 26:4 +2O,FA 26:4 +2O,fatty_acid,nl
